Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"38/2025";Aprovada;;"Aquisição de equipamentos de laboratório";BENS;250110;799.861,5000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"243/2024";"Médio";1;30/09/2025;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;"7059";"MICROSCÓPIO";440658;"ADICIONAL: INCLINAÇÃO ATÉ 45°, AUMENTO: OCULAR ATÉ 16X, COMPONENTES: C/ CÂMERA DE VÍDEO INTEGRADA, OUTROS COMPONENTES: C/ SAÍDA USB, TIPO: BINOCULAR, TIPO DE ANÁLISE: ÓTICO";"UN";9.812,2500;54,00000;529.861,5000
"38/2025";Aprovada;;"Aquisição de equipamentos de laboratório";BENS;250110;799.861,5000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"244/2024";"Médio";1;30/09/2025;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;"7059";"MICROSCÓPIO";427014;"ADICIONAL: INCLINAÇÃO ATÉ 35°, AUMENTO: OCULARES ATÉ 10X, ZOOM ATÉ 50X, COMPONENTES: ILUMINAÇÃO EM LED, REFLETIDA E TRANSMITIDA, OUTROS COMPONENTES: BASE CERCA DE 20 X 20 CM, TIPO: BINOCULAR, TIPO DE ANÁLISE: ESTEREOSCÓPIO";"UN";5.000,0000;54,00000;270.000,0000
"93/2025";Aprovada;;"Serviço de energia elétrico ";SERVICOS;250110;50.000,0000;04/12/2024;02/06/2025;180;"SESAI.CASAI.SP";"236/2024";"Médio";1;01/06/2025;Serviço;691;SERVIÇOS DE DISTRIBUIÇÃO DE ELETRICIDADE E DISTRIBUIÇÃO DE  GÁS ATRAVÉS DE TUBULAÇÃO;"";"";4120;"ENERGIA ELÉTRICA - FORNECIMENTO MERCADO REGULADO";"";50.000,0000;1,00000;50.000,0000
"153/2025";Aprovada;;"Aquisição de vestuário";BENS;250110;50.687,0000;03/04/2025;30/09/2025;180;"SVS.DEDT.CGZV";"245/2024";"Médio";1;30/09/2025;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;"1364";"MACACÃO";402136;"CARACTERÍSTICAS ADICIONAIS: UNISSEX/ TIPO PADRÃO COM ZÍPER, COR: BRANCA, MATERIAL: TYVER, TAMANHO: G";"UN";38,9900;1.300,00000;50.687,0000
"280/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Estratégia, Projetos e Processos";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"512/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"279/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Estratégia, Projetos e Processos";SERVICOS;250110;24.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"511/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;8,00000;24.000,0000
"273/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Epidemiologia";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"505/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"272/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Epidemiologia";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"504/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"251/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria";SERVICOS;250110;21.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"483/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;7,00000;21.000,0000
"243/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Arquivologia";SERVICOS;250110;6.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"473/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;2,00000;6.000,0000
"257/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria";SERVICOS;250110;9.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"489/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;3,00000;9.000,0000
"256/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"488/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"254/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"486/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"355/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"587/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"353/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas";SERVICOS;250110;30.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"585/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;10,00000;30.000,0000
"352/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas";SERVICOS;250110;45.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"584/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;15,00000;45.000,0000
"342/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas, ";SERVICOS;250110;15.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"574/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;5,00000;15.000,0000
"341/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas, ";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"573/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"340/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas,";SERVICOS;250110;45.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"572/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;15,00000;45.000,0000
"331/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Liderança, ";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"563/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"324/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Inovação, ";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"556/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"323/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Inovação, ";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"555/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"321/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, ";SERVICOS;250110;3.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"553/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;1,00000;3.000,0000
"318/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC,";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"550/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"316/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, confor";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"548/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"312/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, ";SERVICOS;250110;90.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"543/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;30,00000;90.000,0000
"5/2025";Aprovada;;"Serviço de operador de carga (estiva)";SERVICOS;250110;117.580,0400;04/12/2024;02/06/2025;180;"SESAI.CASAI.BSB";"213/2024";"Baixo";1;01/06/2025;Serviço;671;SERVIÇOS DE CARGA E DESCARGA;"";"";15890;"ESTIVA - CARREGADOR / OPERADOR CARGA";"";117.580,0400;1,00000;117.580,0400
