Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
38/2025;Aprovada;;Aquisição de equipamentos de laboratório;BENS;250110;799.861,50;03/04/2025;30/09/2025;180;SVS.DEDT.CGZV;243/2024;Médio;1;30/09/2025;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;7059;MICROSCÓPIO;440658;ADICIONAL: INCLINAÇÃO ATÉ 45°, AUMENTO: OCULAR ATÉ 16X, COMPONENTES: C/ CÂMERA DE VÍDEO INTEGRADA, OUTROS COMPONENTES: C/ SAÍDA USB, TIPO: BINOCULAR, TIPO DE ANÁLISE: ÓTICO;UN;9.812,25;54;529.861,50
38/2025;Aprovada;;Aquisição de equipamentos de laboratório;BENS;250110;799.861,50;03/04/2025;30/09/2025;180;SVS.DEDT.CGZV;244/2024;Médio;1;30/09/2025;Material;6640;EQUIPAMENTOS E ARTIGOS DE LABORATÓRIO;7059;MICROSCÓPIO;427014;ADICIONAL: INCLINAÇÃO ATÉ 35°, AUMENTO: OCULARES ATÉ 10X, ZOOM ATÉ 50X, COMPONENTES: ILUMINAÇÃO EM LED, REFLETIDA E TRANSMITIDA, OUTROS COMPONENTES: BASE CERCA DE 20 X 20 CM, TIPO: BINOCULAR, TIPO DE ANÁLISE: ESTEREOSCÓPIO;UN;5.000,00;54;270.000,00
93/2025;Aprovada;;Serviço de energia elétrico ;SERVICOS;250110;50.000,00;04/12/2024;02/06/2025;180;SESAI.CASAI.SP;236/2024;Médio;1;01/06/2025;Serviço;691;SERVIÇOS DE DISTRIBUIÇÃO DE ELETRICIDADE E DISTRIBUIÇÃO DE  GÁS ATRAVÉS DE TUBULAÇÃO;;;4120;ENERGIA ELÉTRICA - FORNECIMENTO MERCADO REGULADO;;50.000,00;1;50.000,00
153/2025;Aprovada;;Aquisição de vestuário;BENS;250110;50.687,00;03/04/2025;30/09/2025;180;SVS.DEDT.CGZV;245/2024;Médio;1;30/09/2025;Material;8415;VESTUÁRIO PARA FINS ESPECIAIS;1364;MACACÃO;402136;CARACTERÍSTICAS ADICIONAIS: UNISSEX/ TIPO PADRÃO COM ZÍPER, COR: BRANCA, MATERIAL: TYVER, TAMANHO: G;UN;38,99;1.300,00;50.687,00
280/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Estratégia, Projetos e Processos;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;512/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
279/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Estratégia, Projetos e Processos;SERVICOS;250110;24.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;511/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;8;24.000,00
273/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Epidemiologia;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;505/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
272/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Epidemiologia;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;504/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
251/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria;SERVICOS;250110;21.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;483/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;7;21.000,00
243/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Arquivologia;SERVICOS;250110;6.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;473/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;2;6.000,00
257/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria;SERVICOS;250110;9.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;489/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;3;9.000,00
256/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;488/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
254/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Auditoria;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;486/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
355/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;587/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
353/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas;SERVICOS;250110;30.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;585/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;10;30.000,00
352/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Logística e Compras Públicas;SERVICOS;250110;45.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;584/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;15;45.000,00
342/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas, ;SERVICOS;250110;15.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;574/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;5;15.000,00
341/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas, ;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;573/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
340/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Políticas Públicas,;SERVICOS;250110;45.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;572/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;15;45.000,00
331/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Liderança, ;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;563/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
324/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Inovação, ;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;556/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
323/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Inovação, ;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;555/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
321/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, ;SERVICOS;250110;3.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;553/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;1;3.000,00
318/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC,;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;550/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
316/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, confor;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;548/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
312/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Transformação Digital e TIC, ;SERVICOS;250110;90.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;543/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;30;90.000,00
05/2025;Aprovada;;Serviço de operador de carga (estiva);SERVICOS;250110;117.580,04;04/12/2024;02/06/2025;180;SESAI.CASAI.BSB;213/2024;Baixo;1;01/06/2025;Serviço;671;SERVIÇOS DE CARGA E DESCARGA;;;15890;ESTIVA - CARREGADOR / OPERADOR CARGA;;117.580,04;1;117.580,04
307/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos;SERVICOS;250110;18.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;538/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;6;18.000,00
305/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos;SERVICOS;250110;36.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;536/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;12;36.000,00
303/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos;SERVICOS;250110;90.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;534/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;30;90.000,00
301/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Gestão Pública;SERVICOS;250110;12.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;532/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;4;12.000,00
289/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Ética e Combate à Corrupção;SERVICOS;250110;3.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;521/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;1;3.000,00
286/2025;Aprovada;;Contratar vagas em ações de desenvolvimento relacionadas ao Tema Ética e Combate à Corrupção;SERVICOS;250110;15.000,00;04/07/2025;31/12/2025;180;SAA.COGEP.CODEP;518/2024;Baixo;1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;;;21172;TREINAMENTO QUALIFICAÇÃO PROFISSIONAL;;3.000,00;5;15.000,00
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;1;10/03/2025;Material;7930;Compostos E Preparados Para Limpeza E Polimento;2166;Água Sanitária;299605;composição química: hipoclorito de sódio, hidróxido de sódio, cloreto, cor: incolor, teor cloro ativo: varia de 2 a 2,50%, aplicação: lavagem e alvejante de roupas, banheiras, pias,;GRF;11,6533;60;699,198
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;2;10/03/2025;Material;6840;Pesticidas E Desinfetantes;14487;Desinfetante;396196;característica adicional: com aroma, composição: à base de quaternário de amônio, forma física: solução aquosa, princípio ativo: cloreto alquil dimetil benzil amônio +tensioativos, teor ativo: solução concentrada, teor ativo em torno de 50%;L;6,64;420;2.788,80
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;3;10/03/2025;Material;7930;Compostos E Preparados Para Limpeza E Polimento;6136;Detergente;244300;aplicação: remoção gordura e sujeira em geral., características adicionais: líquido, composição: detergente industrial, amoniacal, dodecilbenzeno -;EMB;22,7;240;5.448,00
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;4;10/03/2025;Material;7920;Vassouras, Escovas, Rodos, Esponjas E Esfregões;7042;Esponja Limpeza;481020;aplicação: utensílios domésticos, características adicionais: dupla face, formato: retangular, material: espuma / fibra;UN;1,122;240;269,28
